stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
input_y8,8,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
input_y8,13,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
input_y8,13,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
input_y8,16,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
input_y8,16,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
c1,8,zero-fill,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c1,8,sign-extend,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c1,13,zero-fill,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c1,13,sign-extend,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c1,16,zero-fill,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c1,16,sign-extend,VALID,16,00000000,00000020,00000020,00000135,0,11,row-major
c2,8,zero-fill,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
c2,8,sign-extend,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
c2,13,zero-fill,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
c2,13,sign-extend,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
c2,16,zero-fill,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
c2,16,sign-extend,VALID,16,0000000D,0000001B,0000001B,0000011C,0,9,row-major
ll1,8,zero-fill,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
ll1,8,sign-extend,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
ll1,13,zero-fill,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
ll1,13,sign-extend,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
ll1,16,zero-fill,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
ll1,16,sign-extend,VALID,4,00000000,00000016,00000016,00000023,0,11,row-major
recon_y8,8,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
recon_y8,8,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
recon_y8,13,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
recon_y8,13,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
recon_y8,16,zero-fill,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
recon_y8,16,sign-extend,VALID,16,00000000,00000078,00000078,000002A8,0,15,row-major
