stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
input_y8,8,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
input_y8,13,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
input_y8,13,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
input_y8,16,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
input_y8,16,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,921600,NA,NA,NA,NA,-263,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,921600,NA,NA,NA,NA,-263,257,row-major
c1,13,zero-fill,VALID,921600,00001FDA,A398813A,A398813A,7DAC2F86,-263,257,row-major
c1,13,sign-extend,VALID,921600,00001FDA,01B0A13A,01B0A13A,2AEBEF86,-263,257,row-major
c1,16,zero-fill,VALID,921600,0000FFDA,10EFA13A,10EFA13A,C0EDEF86,-263,257,row-major
c1,16,sign-extend,VALID,921600,0000FFDA,01B0A13A,01B0A13A,2AEBEF86,-263,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,921600,NA,NA,NA,NA,-263,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,921600,NA,NA,NA,NA,-263,257,row-major
c2,13,zero-fill,VALID,921600,00001F53,CAF42591,CAF42591,80ED210D,-263,257,row-major
c2,13,sign-extend,VALID,921600,00001F53,00630591,00630591,DFAEE10D,-263,257,row-major
c2,16,zero-fill,VALID,921600,0000FF53,54EC0591,54EC0591,E9A0E10D,-263,257,row-major
c2,16,sign-extend,VALID,921600,0000FF53,00630591,00630591,DFAEE10D,-263,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,230400,NA,NA,NA,NA,40,208,row-major
ll1,8,sign-extend,OUT_OF_RANGE,230400,NA,NA,NA,NA,40,208,row-major
ll1,13,zero-fill,VALID,230400,00000058,01BE86F0,01BE86F0,DEDFF75C,40,208,row-major
ll1,13,sign-extend,VALID,230400,00000058,01BE86F0,01BE86F0,DEDFF75C,40,208,row-major
ll1,16,zero-fill,VALID,230400,00000058,01BE86F0,01BE86F0,DEDFF75C,40,208,row-major
ll1,16,sign-extend,VALID,230400,00000058,01BE86F0,01BE86F0,DEDFF75C,40,208,row-major
recon_y8,8,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
recon_y8,8,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
recon_y8,13,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
recon_y8,13,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
recon_y8,16,zero-fill,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
recon_y8,16,sign-extend,VALID,921600,00000000,06ED8400,06ED8400,76CAFC00,0,255,row-major
