stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
input_y8,8,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
input_y8,13,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
input_y8,13,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
input_y8,16,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
input_y8,16,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,921600,NA,NA,NA,NA,-56,268,row-major
c1,8,sign-extend,OUT_OF_RANGE,921600,NA,NA,NA,NA,-56,268,row-major
c1,13,zero-fill,VALID,921600,00001E67,3FE7D9CF,3FE7D9CF,050B5F1C,-56,268,row-major
c1,13,sign-extend,VALID,921600,00001E67,01C9B9CF,01C9B9CF,A5669F1C,-56,268,row-major
c1,16,zero-fill,VALID,921600,0000FE67,F2BAB9CF,F2BAB9CF,A28C9F1C,-56,268,row-major
c1,16,sign-extend,VALID,921600,0000FE67,01C9B9CF,01C9B9CF,A5669F1C,-56,268,row-major
c2,8,zero-fill,OUT_OF_RANGE,921600,NA,NA,NA,NA,-120,292,row-major
c2,8,sign-extend,OUT_OF_RANGE,921600,NA,NA,NA,NA,-120,292,row-major
c2,13,zero-fill,VALID,921600,0000012D,5877DDEB,5877DDEB,EA0A4F92,-120,292,row-major
c2,13,sign-extend,VALID,921600,0000012D,0075DDEB,0075DDEB,3174AF92,-120,292,row-major
c2,16,zero-fill,VALID,921600,0000012D,C085DDEB,C085DDEB,F621AF92,-120,292,row-major
c2,16,sign-extend,VALID,921600,0000012D,0075DDEB,0075DDEB,3174AF92,-120,292,row-major
ll1,8,zero-fill,OUT_OF_RANGE,230400,NA,NA,NA,NA,-8,268,row-major
ll1,8,sign-extend,OUT_OF_RANGE,230400,NA,NA,NA,NA,-8,268,row-major
ll1,13,zero-fill,VALID,230400,00000185,01C9A8FD,01C9A8FD,55A96661,-8,268,row-major
ll1,13,sign-extend,VALID,230400,00000185,01C6E8FD,01C6E8FD,DDE88661,-8,268,row-major
ll1,16,zero-fill,VALID,230400,00000185,01DCE8FD,01DCE8FD,9BEF8661,-8,268,row-major
ll1,16,sign-extend,VALID,230400,00000185,01C6E8FD,01C6E8FD,DDE88661,-8,268,row-major
recon_y8,8,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
recon_y8,8,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
recon_y8,13,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
recon_y8,13,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
recon_y8,16,zero-fill,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
recon_y8,16,sign-extend,VALID,921600,00000030,0716D978,0716D978,5F4589A6,0,255,row-major
