stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
input_y8,8,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
input_y8,13,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
input_y8,13,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
input_y8,16,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
input_y8,16,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c1,13,zero-fill,VALID,96,0000004E,00048C64,00048C64,00B19FF3,-257,257,row-major
c1,13,sign-extend,VALID,96,0000004E,00000C64,00000C64,0003BFF3,-257,257,row-major
c1,16,zero-fill,VALID,96,0000004E,00240C64,00240C64,0572BFF3,-257,257,row-major
c1,16,sign-extend,VALID,96,0000004E,00000C64,00000C64,0003BFF3,-257,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c2,13,zero-fill,VALID,96,00001F87,0005638F,0005638F,00ECB47A,-257,257,row-major
c2,13,sign-extend,VALID,96,00001F87,0000038F,0000038F,0001547A,-257,257,row-major
c2,16,zero-fill,VALID,96,0000FF87,002B038F,002B038F,075C547A,-257,257,row-major
c2,16,sign-extend,VALID,96,0000FF87,0000038F,0000038F,0001547A,-257,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,24,NA,NA,NA,NA,55,188,row-major
ll1,8,sign-extend,OUT_OF_RANGE,24,NA,NA,NA,NA,55,188,row-major
ll1,13,zero-fill,VALID,24,00000055,00000BB3,00000BB3,0000925F,55,188,row-major
ll1,13,sign-extend,VALID,24,00000055,00000BB3,00000BB3,0000925F,55,188,row-major
ll1,16,zero-fill,VALID,24,00000055,00000BB3,00000BB3,0000925F,55,188,row-major
ll1,16,sign-extend,VALID,24,00000055,00000BB3,00000BB3,0000925F,55,188,row-major
recon_y8,8,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
recon_y8,8,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
recon_y8,13,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
recon_y8,13,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
recon_y8,16,zero-fill,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
recon_y8,16,sign-extend,VALID,96,00000070,00002EE0,00002EE0,0008FB98,0,255,row-major
